status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time,response.docs.subsection_name
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Yasir Arafat urges Palestinians to reject violence and work for reconstruction, development, cooperation and ""the normalization of life."" The Palestine Liberation Organization renounces armed struggle and recognizes Israel's right to exist ""in peace and security."" Israel recognizes the P.L.O. ""as the representative of the Palestinian people.""   Yes, you're reading these words in the newspaper. The Middle East, biblical land of miracles, has spawned these modern-day astonishments that almost defy belief.",https://www.nytimes.com/1993/09/10/opinion/beyond-the-shock-of-recognition.html,,"Yasir Arafat urges Palestinians to reject violence and work for reconstruction, development, cooperation and ""the normalization of life."" The Palestine Liberation Organization renounces armed struggle and recognizes Israel's right to exist ""in peace and security."" Israel recognizes the P.L.O. ""as the representative of the Palestinian people.""",A,26,The New York Times,,,1993-09-10T05:00:00+0000,article,Editorial Desk,Opinion,Editorial,nyt://article/10ac4f85-6a11-540a-be14-79547b9d73e2,451,nyt://article/10ac4f85-6a11-540a-be14-79547b9d73e2,Beyond the Shock of Recognition,NA,NA,Beyond the Shock of Recognition,NA,NA,NA,NA,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  It is too early to declare that we are facing one of the great moments of history. This has yet to be proved. We are certainly talking about one of the great opportunities of history, but much will depend on the detailed negotiations which will follow a statement of principles and mutual recognition between Israel and the Palestine Liberation Organization.   Euphoria does not characterize the atmosphere on the eve of the scheduled signing ceremonies in Washington. It is more an atmosphere of hope mingled with doubt and uncertainty.  Developments could lead to peace, economic prosperity and even confederation. They could lead to tragedy.",https://www.nytimes.com/1993/09/12/opinion/historic-breakthrough-not-yet-stay-tuned.html,,"It is too early to declare that we are facing one of the great moments of history. This has yet to be proved. We are certainly talking about one of the great opportunities of history, but much will depend on the detailed negotiations which will follow a statement of principles and mutual recognition between Israel and the Palestine Liberation Organization.",4,19,The New York Times,,,1993-09-12T05:00:00+0000,article,Editorial Desk,Opinion,Op-Ed,nyt://article/411dd6df-e693-50bd-bd7c-0d2cd75fa07a,1030,nyt://article/411dd6df-e693-50bd-bd7c-0d2cd75fa07a,Historic Breakthrough? Not Yet. Stay Tuned.,NA,NA,Historic Breakthrough? Not Yet. Stay Tuned.,NA,NA,NA,By Chaim Herzog,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  After a lifetime of violent struggle for a Palestinian homeland, Yasir Arafat set foot on American soil today and expressed hope that an agreement with Israel would bring peace to the Middle East.   There was no red carpet or military brass band for Mr. Arafat, the chairman of the Palestine Liberation Organization, who smiled broadly as he greeted about 70 P.L.O. officials, Arab ambassadors and Palestinian-Americans with kisses on both cheeks.",https://www.nytimes.com/1993/09/13/world/mideast-accord-the-overview-arafat-arrives-in-us-to-make-peace.html,,"After a lifetime of violent struggle for a Palestinian homeland, Yasir Arafat set foot on American soil today and expressed hope that an agreement with Israel would bring peace to the Middle East.",A,1,The New York Times,,,1993-09-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/a99267e4-19a5-5e8b-bf26-4cf51d69d85d,1430,nyt://article/a99267e4-19a5-5e8b-bf26-4cf51d69d85d,MIDEAST ACCORD: The Overview; Arafat Arrives in U.S. to 'Make Peace',NA,NA,MIDEAST ACCORD: The Overview; Arafat Arrives in U.S. to 'Make Peace',NA,NA,NA,By Elaine Sciolino,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,  A senior Palestine Liberation Organization official said today that a tentative agreement for mutual recognition between the P.L.O. and Israel had been worked out and that Norwegian intermediaries were flying here tonight with a text of the accord.   The development took place as the P.L.O.'s 18-member Executive Committee -- with five missing -- began an important meeting here tonight that is widely expected to give a stamp of approval on Thursday or Friday to both the mutual recognition accord and the already-initialed agreement between Israel and the P.L.O. on self-rule by Palestinians in the Israeli-occupied Gaza Strip and part of the West Bank. The meeting adjourned late tonight and will reconvene Thursday.,https://www.nytimes.com/1993/09/09/world/mideast-accord-plo-aide-reports-pact-with-israel-over-recognition.html,,A senior Palestine Liberation Organization official said today that a tentative agreement for mutual recognition between the P.L.O. and Israel had been worked out and that Norwegian intermediaries were flying here tonight with a text of the accord.,A,1,The New York Times,,,1993-09-09T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/37923414-e9db-5acf-966a-3d0d9c40b145,887,nyt://article/37923414-e9db-5acf-966a-3d0d9c40b145,P.L.O. AIDE REPORTS PACT WITH ISRAEL OVER RECOGNITION,MIDEAST ACCORD,NA,MIDEAST ACCORD; P.L.O. AIDE REPORTS PACT WITH ISRAEL OVER RECOGNITION,NA,NA,NA,By Youssef M. Ibrahim,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Once bitter enemies who vowed to destroy each other, Yasir Arafat and Yitzhak Rabin will stand side by side at the White House on Monday for the signing of the peace agreement that will usher in Palestinian self-rule in the Israeli-occupied Gaza Strip and the West Bank.   The last-minute decision of the chairman of the Palestine Liberation Organization and the Prime Minister of Israel to validate the signing with their presence adds another layer of symbolism to the event itself and the agreement it will codify.",https://www.nytimes.com/1993/09/12/world/mideast-accord-the-ceremony-old-enemies-arafat-and-rabin-to-meet.html,,"Once bitter enemies who vowed to destroy each other, Yasir Arafat and Yitzhak Rabin will stand side by side at the White House on Monday for the signing of the peace agreement that will usher in Palestinian self-rule in the Israeli-occupied Gaza Strip and the West Bank.",1,1,The New York Times,,,1993-09-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/11eea9cc-2a02-5c6f-a943-b6ce36585384,1180,nyt://article/11eea9cc-2a02-5c6f-a943-b6ce36585384,Mideast Accord: The Ceremony; Old Enemies Arafat and Rabin to Meet,NA,NA,Mideast Accord: The Ceremony; Old Enemies Arafat and Rabin to Meet,NA,NA,NA,By Elaine Sciolino,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  One barrier to the formal signing of the agreement on limited Palestinian self-rule has been the prolonged negotiations over mutual recognition of the Palestine Liberation Organization and Israel. Israel is reportedly asking that the P.L.O. revoke the call for the destruction of Israel that is part of the organization's covenant, the Palestinian National Charter. Here are excerpts from the charter, adopted in 1964 and revised in 1968:   Armed struggle is the only way to liberate Palestine.                    . . .     ",https://www.nytimes.com/1993/09/08/world/mideast-accord-words-israelis-insist-plo-drop-in-pact.html,,"One barrier to the formal signing of the agreement on limited Palestinian self-rule has been the prolonged negotiations over mutual recognition of the Palestine Liberation Organization and Israel. Israel is reportedly asking that the P.L.O. revoke the call for the destruction of Israel that is part of the organization's covenant, the Palestinian National Charter. Here are excerpts from the charter, adopted in 1964 and revised in 1968:",A,15,The New York Times,,,1993-09-08T05:00:00+0000,article,Foreign Desk,World,Text,nyt://article/182fd16f-0ee2-562e-a13f-c5da5e8e1178,631,nyt://article/182fd16f-0ee2-562e-a13f-c5da5e8e1178,Words Israelis Insist P.L.O. Drop in Pact,MIDEAST ACCORD,NA,MIDEAST ACCORD; Words Israelis Insist P.L.O. Drop in Pact,NA,NA,NA,NA,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  When this startlingly verdant little patch of date palms, grapevines, onions, watermelon and zucchini was first dreamed up by Labor Party planners in 1977, it was to be part of a string of Jewish settlements along the Jordan River valley that would forever provide Israel with a defensible border.    Now, it's next-door neighbor, Jericho, is to become a prototype of a new Palestine.",https://www.nytimes.com/1993/09/11/world/mideast-accord-settlers-israelis-in-territories-feel-cast-adrift-in-angry-sea.html,,"When this startlingly verdant little patch of date palms, grapevines, onions, watermelon and zucchini was first dreamed up by Labor Party planners in 1977, it was to be part of a string of Jewish settlements along the Jordan River valley that would forever provide Israel with a defensible border.",1,4,The New York Times,,,1993-09-11T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/d4d5282e-44f0-52bb-86ba-0a93e12ac71e,940,nyt://article/d4d5282e-44f0-52bb-86ba-0a93e12ac71e,MIDEAST ACCORD: Settlers; Israelis in Territories Feel Cast Adrift in Angry Sea,NA,NA,MIDEAST ACCORD: Settlers; Israelis in Territories Feel Cast Adrift in Angry Sea,NA,NA,NA,By John Kifner,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  When he took over as Prime Minister last year, Yitzhak Rabin wasted no time proclaiming that the torch had been passed to a different generation of Israelis.   Not a new generation. At the age of 71, Mr. Rabin is only a few years younger than the man he replaced, Yitzhak Shamir. But in outlook the two men are light years apart.",https://www.nytimes.com/1993/09/12/world/mideast-accord-israel-yitzhak-rabin-pragmatist-leading-israelis-isolation-new.html,,"When he took over as Prime Minister last year, Yitzhak Rabin wasted no time proclaiming that the torch had been passed to a different generation of Israelis.",1,12,The New York Times,,,1993-09-12T05:00:00+0000,article,Foreign Desk,World,Biography,nyt://article/64c7b040-d294-5a70-948a-c5672a3c8a42,2016,nyt://article/64c7b040-d294-5a70-948a-c5672a3c8a42,Mideast Accord: Israel; Yitzhak Rabin: Pragmatist Leading Israelis From Isolation to New Peace,NA,NA,Mideast Accord: Israel; Yitzhak Rabin: Pragmatist Leading Israelis From Isolation to New Peace,NA,NA,NA,By Clyde Haberman,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Yoni Ben-Menachem could not restrain himself. The first reporter to interview Yasir Arafat on camera for Israeli television, Mr. Ben-Menachem pumped the hand of the P.L.O. chairman eight days ago and blurted out, ""This is a sign of peace.""   ""We'll meet in Jericho, God willing,"" Mr. Arafat replied with a broad smile, referring to the plans for Palestinian self-rule in the West Bank town and in the Gaza Strip.",https://www.nytimes.com/1993/09/13/world/mideast-accord-images-plo-once-banned-israel-s-tv-now-getting-abundant-air-time.html,,"Yoni Ben-Menachem could not restrain himself. The first reporter to interview Yasir Arafat on camera for Israeli television, Mr. Ben-Menachem pumped the hand of the P.L.O. chairman eight days ago and blurted out, ""This is a sign of peace.""",A,11,The New York Times,,,1993-09-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/3b827f96-cf74-526b-bf24-17b038a4f688,915,nyt://article/3b827f96-cf74-526b-bf24-17b038a4f688,"MIDEAST ACCORD: The Images; P.L.O., Once Banned From Israel's TV, Is Now Getting Abundant Air Time",NA,NA,"MIDEAST ACCORD: The Images; P.L.O., Once Banned From Israel's TV, Is Now Getting Abundant Air Time",NA,NA,NA,By Joel Greenberg,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Inside, the old soldier was in a jumble.    Yitzhak Rabin, former general and army Chief of Staff, is rarely given to public displays of emotion. But in the mildly formal sitting room of his official residence in Jerusalem, the Israeli Prime Minister churned his hands around his stomach to make the point that butterfly wings were flapping extra hard there.",https://www.nytimes.com/1993/09/13/us/mideast-accord-israel-israel-s-old-soldier-is-edgy-yet-at-peace-about-accord.html,,"Inside, the old soldier was in a jumble.",A,1,The New York Times,,,1993-09-13T05:00:00+0000,article,National Desk,U.S.,Biography,nyt://article/000a7549-f770-55f8-a5a5-aa53efb4fb9c,1551,nyt://article/000a7549-f770-55f8-a5a5-aa53efb4fb9c,"MIDEAST ACCORD: Israel; Israel's Old Soldier Is Edgy, Yet at Peace, About Accord",NA,NA,"MIDEAST ACCORD: Israel; Israel's Old Soldier Is Edgy, Yet at Peace, About Accord",NA,NA,NA,By Clyde Haberman,,NA,3371,20,40,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  As he signed a starchily worded letter declaring Israel's recognition of the Palestine Liberation Organization, Prime Minister Yitzhak Rabin said today that history had handed Israel a chance for reconciliation with the rest of the Arab world and not just the Palestinians.    ""I believe that there is a great opportunity of changing not only the relations between the Palestinians and Israel but to expand it to the solution of the conflict between Israel and other Arab countries and other Arab peoples,"" Mr. Rabin said at a signing ceremony whose simplicity belied the seismic shift it represented in Middle East relationships.",https://www.nytimes.com/1993/09/11/world/mideast-accord-israel-and-plo-seek-to-build-on-new-ties-jordan-accord-is-seen.html,,"As he signed a starchily worded letter declaring Israel's recognition of the Palestine Liberation Organization, Prime Minister Yitzhak Rabin said today that history had handed Israel a chance for reconciliation with the rest of the Arab world and not just the Palestinians.",1,1,The New York Times,,,1993-09-11T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/da81602d-53b9-5fdc-add1-4a8265748f04,1639,nyt://article/da81602d-53b9-5fdc-add1-4a8265748f04,Israel and P.L.O. Seek To Build on New Ties; Jordan Accord Is Seen,MIDEAST ACCORD,NA,MIDEAST ACCORD; Israel and P.L.O. Seek To Build on New Ties; Jordan Accord Is Seen,NA,NA,NA,By Clyde Haberman,,NA,3371,30,17,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  For decades, the Palestinian cause has been the most sacred in Arab politics, even if the relations between Arab countries and those Palestinians who sought refugee inside their borders were often strained and even violent.   In the 1970's, Palestinians became embroiled in rebellion and civil war in Jordan and later in Lebanon. More recently, Palestinian workers were the target of reprisal and expulsion in Kuwait and other Persian Gulf nations as a result of suspicions that they had conspired with Iraq in the 1991 gulf war. Today, fewer than 150,000 of a prewar population of about 400,000 Palestinians remain in Kuwait.",https://www.nytimes.com/1993/09/12/world/mideast-accord-new-calculations-for-arab-lands-a-raft-of-questions.html,,"For decades, the Palestinian cause has been the most sacred in Arab politics, even if the relations between Arab countries and those Palestinians who sought refugee inside their borders were often strained and even violent.",1,14,The New York Times,,,1993-09-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/51d01c20-a116-5d84-8f82-b00cf7bbf196,1046,nyt://article/51d01c20-a116-5d84-8f82-b00cf7bbf196,"Mideast Accord: New Calculations; For Arab Lands, a Raft of Questions",NA,NA,"Mideast Accord: New Calculations; For Arab Lands, a Raft of Questions",NA,NA,NA,By William E. Schmidt,,NA,3371,30,17,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  President Clinton today promised the Israeli public the unflinching support of the United States at this critical time in an effort not only to make Israelis comfortable about striking a deal with Yasir Arafat but also to obtain their backing for a future peace accord with Syria.   In his first interview since the breakthrough toward peace in the Middle East, Mr. Clinton said King Fahd of Saudi Arabia told him in a telephone conversation on Friday that despite the lingering wrath of the Saudis over Palestinian support for Iraq in the Persian Gulf war, they would be ready to contribute funds and raise money from the other Arab nations of the Persian Gulf to insure that the new Palestinian entities in the Gaza Strip and Jericho get on their feet.",https://www.nytimes.com/1993/09/12/world/mideast-accord-us-policy-clinton-seeks-buoy-israelis-saying-us-backing-firm.html,,President Clinton today promised the Israeli public the unflinching support of the United States at this critical time in an effort not only to make Israelis comfortable about striking a deal with Yasir Arafat but also to obtain their backing for a future peace accord with Syria.,1,1,The New York Times,,,1993-09-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/e478fd99-b35e-549c-8830-6008fa79cb36,1888,nyt://article/e478fd99-b35e-549c-8830-6008fa79cb36,"Mideast Accord: U.S. Policy; Clinton Seeks to Buoy Israelis, Saying U.S. Backing Is Firm",NA,NA,"Mideast Accord: U.S. Policy; Clinton Seeks to Buoy Israelis, Saying U.S. Backing Is Firm",NA,NA,NA,By Thomas L. Friedman,,NA,3371,30,17,NA
